played_at,track_name,track_id,artist_name_x,artist_id,album,isrc,explicit,release_date,popularity,artist_name_y,artist_popularity,followers,genres
2025-11-29T15:17:16.088Z,It's Beginning To Look Like Christmas,44mYhOVgerj2qPjkGDVA6n,Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S,White Christmas,USMC15151057,False,1945-01-01,72,Bing Crosby,76,602860,['christmas']
2025-11-29T15:14:29.823Z,It's Beginning to Look a Lot like Christmas,0lLdorYw7lVrJydTINhWdI,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,Christmas,USRE11100700,False,2011-10-24,80,Michael Bublé,82,6929593,['christmas']
2025-11-29T15:11:01.985Z,Have Yourself A Merry Little Christmas - Remastered 1999,2FPfeYlrbSBR8PwCU0zaqq,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,A Jolly Christmas From Frank Sinatra,USCA29900549,False,1957-09,81,Frank Sinatra,82,8461629,"['christmas', 'big band', 'adult standards', 'swing music', 'jazz', 'vocal jazz']"
2025-11-29T15:07:43.359Z,We Need a Little Christmas,7uyIOiGyIpOR6OGz8UHBuq,Johnny Mathis,21LGsW7bziR4Ledx7WZ1Wf,Christmas Eve With Johnny Mathis,USSM19914592,False,1986-09-23,58,Johnny Mathis,61,451107,['christmas']
2025-11-29T15:05:47.688Z,Mistletoe,7xapw9Oy21WpfEcib2ErSA,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Under The Mistletoe (Deluxe Edition),USUM71116290,False,2011-01-01,84,Justin Bieber,92,85472179,[]
2025-11-29T15:02:49.611Z,Little Saint Nick - 1991 Remix,5xlS0QkVrSH7ssEbBgBzbM,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,The Beach Boys' Christmas Album,USCA29100193,False,1964-11-09,75,The Beach Boys,72,5112307,['baroque pop']
2025-11-29T15:00:54.623Z,(There's No Place Like) Home for the Holidays - 1959 Version,0hvN2v6fAcB6xWyW7UaooA,Perry Como,5v8jlSmAQfrkTjAlpUfWtu,Season's Greetings,USRC10101096,False,1991-08-26,65,Perry Como,69,595845,"['christmas', 'adult standards']"
2025-11-29T14:58:02.846Z,Run Rudolph Run,2pnPe4pJtq7689i5ydzvJJ,Chuck Berry,293zczrfYafIItmnmM3coR,Rock 'N' Roll Rarities,USMC15819663,False,1986-01-01,80,Chuck Berry,68,2223377,"['rockabilly', 'rock and roll']"
2025-11-29T14:55:23.045Z,Blue Christmas,3QiAAp20rPC3dcAtKtMaqQ,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Elvis' Christmas Album,USRC15701155,False,1957-10-15,79,Elvis Presley,79,11077742,"['rockabilly', 'rock and roll']"
2025-11-29T14:53:16.358Z,Deck The Hall,0rHToGels2lt8Y0mCYoF90,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,The Christmas Song (Expanded Edition),USCA29900552,False,1962,78,Nat King Cole,76,2558062,"['christmas', 'adult standards', 'vocal jazz']"
2025-11-29T14:52:11.838Z,White Christmas - 1947 Version,3XsaSIPWvM61RIFfeb0BBR,Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S,White Christmas,USMC14750470,False,1945-01-01,81,Bing Crosby,76,602860,['christmas']
2025-11-29T14:49:13.362Z,Up On The House Top (Ho Ho Ho) (with Carl Cotner's Orchestra),4alUHNz5SiX3h4ML2ZebSp,Gene Autry,5ixB75BQR3ADoWQkcHQJTs,Rudolph The Red Nosed Reindeer And Other Christmas Classics,USSM10310143,False,1947,62,Gene Autry,65,84012,['christmas']
2025-11-29T14:46:26.856Z,White Christmas (with Shania Twain),2gbCG4Rt9984UZ7Tc0dIFd,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,Christmas,USRE11100703,False,2011-10-24,69,Michael Bublé,82,6929593,['christmas']
2025-11-29T14:42:57.531Z,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),0SUKNXEqZnRw7g0NO139FM,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,The Classic Christmas Album,USSM10018232,False,2014,65,Frank Sinatra,82,8461629,"['christmas', 'big band', 'adult standards', 'swing music', 'jazz', 'vocal jazz']"
2025-11-29T14:40:23.359Z,"Carol of the Bells (From ""Home Alone"" Soundtrack)",0oEBvSzYp0aS7Obdus1RGm,John Williams,3dRfiJ2650SZu6GbydcHNb,Christmas Hits,USSM19912814,False,2019-12-13,61,John Williams,74,1618431,['soundtrack']
2025-11-29T14:35:11.313Z,I've Seen It,6tHVEMyRfxGgQuXRzl2yOF,Olivia Dean,00x1fYSGhdqScXBRpSj3DW,The Art of Loving,GBUM72503094,False,2025-09-26,85,Olivia Dean,91,1978524,['pop soul']
2025-11-29T14:34:32.262Z,I've Seen It,6tHVEMyRfxGgQuXRzl2yOF,Olivia Dean,00x1fYSGhdqScXBRpSj3DW,The Art of Loving,GBUM72503094,False,2025-09-26,85,Olivia Dean,91,1978524,['pop soul']
