genre,playlist_name,playlist_id,track_name,artists,track_id,album,album_release,popularity,duration_ms
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",0O45fw2L5vsWpdsOdXwNAR,FutureSex/LoveSounds,2006-09-12,86,242733
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Womanizer,Britney Spears,4fixebDZAVToLbUCuEloa2,Circus (Deluxe Version),2008-12-02,80,224034
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,OMG (feat. will.i.am),"USHER, will.i.am",1bM50INir8voAkVoKuvEUI,Raymond v Raymond (Expanded Edition),2010-03-30,77,269493
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Pon de Replay,Rihanna,3U3Ff8ZvL6oEu1r98gCCWW,Music Of The Sun,2005-08-29,62,246960
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,When I Grow Up,The Pussycat Dolls,21pySLskKIKrhDziCX5ojQ,Doll Domination (Deluxe),2008-09-23,72,245680
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Like A G6,"Far East Movement, The Cataracs, DEV",5AyL2kgLtTWEu3qO3B9SqK,Free Wired,2010-01-01,76,216893
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,You Make Me Feel... (feat. Sabi),"Cobra Starship, Sabi",0QvvVhTatOAgPH7q7r89fE,Night Shades,2011-08-30,53,215693
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Good Girls Go Bad (feat. Leighton Meester),"Cobra Starship, Leighton Meester",3es9la1RV8YqhVNdTHUz2c,Hot Mess,2009-08-07,37,196413
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Who's That Chick? (feat. Rihanna),"David Guetta, Rihanna",6qUSs4FDzZUdAhY6JDIJfa,One More Love,2010-11-22,59,201040
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,SOS,Rihanna,4S5b3wwIXpVNvY2jeIQdKu,A Girl Like Me,2006-04-10,0,238920
